,text,year,playlist,music_item,sort,artist,service,genre,track,album
70,Play some jpop on Google Music .,,,,,,Google Music,jpop,,
71,Play music from 2002,2002,,,,,,,,
72,play Lastfm  pop tunes,,,,,,Lastfm,pop,,
73,play a concerto that was most popular in 1958 by mickey hart,1958,,concerto,most popular,mickey hart,,,,
74,Let me listen to Rouhollah Khaleghi on deezer .,,,,,Rouhollah Khaleghi,deezer,,,
75,Please play music from Itunes,,,,,,Itunes,,,
76,Play me the most popular  Peja  song on Slacker,,,song,most popular,Peja,Slacker,,,
77,Play my 70s Smash Hits playlist.,,70s Smash Hits,,,,,,,
78,Play me a song from the fourties,fourties,,song,,,,,,
79,Play celtic music,,,,,,,celtic,,
80,play Moustapha Amar  Make It Rain,,,,,Moustapha Amar,,,Make It Rain,
81,I want to hear a top ten  soundtrack from 1984 by Shinehead,1984,,soundtrack,top ten,Shinehead,,,,
82,Play the 1951  ballad,1951,,ballad,,,,,,
83,I want to hear Dave Seaman 's ep,,,ep,,Dave Seaman,,,,
84,Play music from artist Ashley,,,,,Ashley,,,,
85,play Miguelito  top charting album,,,album,top,Miguelito,,,,
86,I want to hear Papa Mali 's songs from the fifties,fifties,,,,Papa Mali,,,,
87,play some tango on iheart,,,,,,iheart,tango,,
88,Play jazz music by Zvooq,,,,,,Zvooq,jazz,,
89,play songs by Wise,,,,,Wise,,,,
90,Play music from the eighties on Slacker .,eighties,,,,,Slacker,,,
91,I want to hear Ready by Frankenstein Drag Queens From Planet 13,,,,,Frankenstein Drag Queens From Planet 13,,,,Ready
92,Play a song from the seventies by Pepe Aguilar,seventies,,song,,Pepe Aguilar,,,,
93,Play something by Brian Chase .,,,,,Brian Chase,,,,
94,open Fadl Shaker on Spotify and play a melody starting with the newest,,,melody,newest,Fadl Shaker,Spotify,,,
95,Play a Scott Lafaro  soundtrack,,,soundtrack,,Scott Lafaro,,,,
96,play songs from the sixties,sixties,,,,,,,,
97,Play a tune from Space Mandino .,,,tune,,Space Mandino,,,,
98,Open Vimeo and paly every  song released in 1986,1986,,song,,,Vimeo,,every,
99,Find me music by Kaori Utatsuki off the album that has top-twenty hits,,,album,top-twenty,Kaori Utatsuki,,,,
100,Play my playlist TGIF on itunes,,TGIF,,,,itunes,,,
101,Play some thrash metal .,,,,,,,thrash metal,,
102,play a top-10  ballad from 1995,1995,,ballad,top-10,,,,,
103,Play ballad from Mandy Moore,,,ballad,,Mandy Moore,,,,
104,Play movement music from Sheryfa Luna,,,movement,,Sheryfa Luna,,,,
105,Play the artist Joe,,,,,Joe,,,,
106,play some Prabha Atre,,,,,Prabha Atre,,,,
107,Play ballad music by Jeff Lynne .,,,ballad,,Jeff Lynne,,,,
108,Play me a 1957  ep,1957,,ep,,,,,,
109,Play Pease Porridge Hot by Johnny Vicious on Zvooq,,,,,Johnny Vicious,Zvooq,,Pease Porridge Hot,
110,play a 1994  tune by Lena Horne,1994,,tune,,Lena Horne,,,,
111,Play a tune by Houston on Spotify,,,tune,,Houston,Spotify,,,
112,Play a top fifty  track from the twenties,twenties,,track,top fifty,,,,,
113,Play Sense Tu from Ebi Hamedi,,,,,Ebi Hamedi,,,Sense Tu,
114,play a good  John Maher  record with Netflix,,,record,good,John Maher,Netflix,,,
115,"use netflix to play Bizzy Bone  Kiss Me Goodnight, Sergeant Major",,,,,Bizzy Bone,netflix,,"Kiss Me Goodnight, Sergeant Major",
116,Play music from 1969 on lastfm .,1969,,,,,lastfm,,,
117,play something from 1981,1981,,,,,,,,
118,play Heavy Machinery by Phil Spector on Zvooq,,,,,Phil Spector,Zvooq,,,Heavy Machinery
119,Play i believe from Chico Buarque off of iheart,,,,,Chico Buarque,iheart,,i believe,
120,Play some symphonic rock .,,,,,,,symphonic rock,,
121,Play some twenties  chant music on Slacker,twenties,,chant,,,Slacker,,,
122,Play some songs from the fifties,fifties,,,,,,,,
123,Play a song by Electric Tones from their Kurutta TaiyÅ  album on Last Fm,,,album,,Electric Tones,Last Fm,,,Kurutta TaiyÅ
124,play some Bertine Zetlitz  record,,,record,,Bertine Zetlitz,,,,
125,"Play my Hardstyle, Baby playlist on Netflix",,"Hardstyle, Baby",,,,Netflix,,,
126,Play the top  symphony music from Ejigayehu Shibabaw,,,symphony,top,Ejigayehu Shibabaw,,,,
127,Open Itunes and play Heath music from 1981,1981,,,,Heath,Itunes,,,
128,I want to listen to a concerto from Timour Moutsouraev .,,,concerto,,Timour Moutsouraev,,,,
129,Play me the dinner playlist,,dinner,,,,,,,
130,play music by Shinji Miyazaki,,,,,Shinji Miyazaki,,,,
131,Play any music on Spotify,,,,,,Spotify,,,
132,Play a record from the seventies,seventies,,record,,,,,,
133,open the Canciones del Recuerdo playlist and play songs,,Canciones del Recuerdo,,,,,,,
134,Play the top-10  chant by Caetano Veloso on Pandora,,,chant,top-10,Caetano Veloso,Pandora,,,
135,Play Water Under The Bridge by Hariprasad Chaurasia .,,,,,Hariprasad Chaurasia,,,Water Under The Bridge,
136,play Matt Uelmen songs from 1965 on Slacker,1965,,,,Matt Uelmen,Slacker,,,
137,I want to hear Shooby Taylor 's Tearing Up The Album Charts .,,,,,Shooby Taylor,,,,Tearing Up The Album Charts
138,Play Niko from the fourties,fourties,,,,Niko,,,,
139,Play ClÃ¡sicos del Hip Hop EspaÃ±ol,,ClÃ¡sicos del Hip Hop EspaÃ±ol,,,,,,,
140,Play Circus Farm by Deana Carter .,,,,,Deana Carter,,,Circus Farm,
141,play some nineties music,nineties,,,,,,,,
142,play music by Bryan Maclean,,,,,Bryan Maclean,,,,
143,Play POP GOES THE 80s .,,POP GOES THE 80s,,,,,,,
144,Play music from 2015,2015,,,,,,,,
145,Play music from 1964,1964,,,,,,,,
146,Play me songs from agreable,,agreable,,,,,,,
147,Play tune from Sonny Stitt,,,tune,,Sonny Stitt,,,,
148,Play some 50 Shades of Love,,50 Shades of Love,,,,,,,
149,Play some sixties music on Slacker .,sixties,,,,,Slacker,,,
150,Play Tomorrow,,,,,,,,Tomorrow,
151,Can you play a sound track by Sissieretta Jones,,,sound track,,Sissieretta Jones,,,,
152,Play me a nineties  song by Joseph Genaro,nineties,,song,,Joseph Genaro,,,,
153,I want to hear Sarban 's greatest hits,,,,greatest,Sarban,,,,
154,play ray davies on Iheart by only Hit It Again,,,,,ray davies,Iheart,,Hit It Again,
155,Play my 88 Keys playlist.,,88 Keys,,,,,,,
156,Play some Rockwell from around 1996,1996,,,,Rockwell,,,,
157,Play me a top 20  chant by Ruwanga Samath on Lastfm,,,chant,top 20,Ruwanga Samath,Lastfm,,,
158,play something from the twenties,twenties,,,,,,,,
159,Play Ciribiribin by Sandeep Khare,,,,,Sandeep Khare,,,Ciribiribin,
160,play some 1991  Dave Barker,1991,,,,Dave Barker,,,,
161,Play Wynton Kelly music on Netflix sort by popular,,,,popular,Wynton Kelly,Netflix,,,
162,Play bebob on Iheart,,,,,,Iheart,bebob,,
163,Play the top 5 by Akira The Don .,,,,top 5,Akira The Don,,,,
164,play some rap on Pandora,,,,,,Pandora,rap,,
165,Play a melody from Elmer Bernstein,,,melody,,Elmer Bernstein,,,,
166,play The Necromancer,,,,,,,,The Necromancer,
167,Can you play Under The Anheuser Bush by Pete Doherty,,,,,Pete Doherty,,,Under The Anheuser Bush,
168,Play any song from 2001,2001,,song,,,,,,
169,I want to hear some music from Groove Shark,,,,,,Groove Shark,,,
170,Play Sound Of Love from Papa Mali,,,,,Papa Mali,,,Sound Of Love,
171,I wanna hear something on Spotify by Eddie Vinson,,,,,Eddie Vinson,Spotify,,,
172,Play a twenties  track by the aj carothers on Zvooq .,twenties,,track,,aj carothers,Zvooq,,,
173,Play Magic Time by Phoebus,,,,,Phoebus,,,,Magic Time
174,Play Johnny Gimble,,,,,Johnny Gimble,,,,
175,play music from 1981,1981,,,,,,,,
176,play music on Netflix,,,,,,Netflix,,,
177,Play a tune by Andrew Findon,,,tune,,Andrew Findon,,,,
178,"Play the playlist, A Mis NiÃ±os de 30 .",,A Mis NiÃ±os de 30,,,,,,,
179,Play some chanson music,,,,,,,chanson,,
180,Play a movement from 1974 .,1974,,movement,,,,,,
181,Can you play Maggie Mae on Netflix,,,,,,Netflix,,Maggie Mae,
182,Play music by Young Steff,,,,,Young Steff,,,,
183,Play Barbra Streisand music from 1997 .,1997,,,,Barbra Streisand,,,,
184,Play greatest  chant music from Beni Arashiro,,,chant,greatest,Beni Arashiro,,,,
185,play Make The Cowboy Robots Cry by Sabin Rai on Vimeo,,,,,Sabin Rai,Vimeo,,,Make The Cowboy Robots Cry
186,Can you play me songs from the Estado de Ã¡nimo playlist?,,Estado de Ã¡nimo,,,,,,,
187,Play music by Janet Paschal,,,,,Janet Paschal,,,,
188,Play Praise The Lord And Pass The Ammunition .,,,,,,,,Praise The Lord And Pass The Ammunition,
189,Please play Short And Sweet by Teyana Taylor from my itunes .,,,,,Teyana Taylor,itunes,,,Short And Sweet
190,Play fourties music on Pandora .,fourties,,,,,Pandora,,,
191,Play music by Damien Rice,,,,,Damien Rice,,,,
192,Play some Rachel Stevens off of Itunes,,,,,Rachel Stevens,Itunes,,,
193,Play music from the seventies for me.,seventies,,,,,,,,
194,Play some Tony Grant .,,,,,Tony Grant,,,,
195,play Andy White,,,,,Andy White,,,,
196,Use Google Music to play a song,,,song,,,Google Music,,,
197,Play Spotify,,,,,,Spotify,,,
198,Play music from 2007 .,2007,,,,,,,,
199,Play me a song from the sixties,sixties,,song,,,,,,
200,play Robin Trower  Unravel,,,,,Robin Trower,,,Unravel,
201,play the top twenty  movement songs from Roberto Valverde,,,movement,top twenty,Roberto Valverde,,,,
202,Play hanging in the balance by Nik Kershaw on Zvooq .,,,,,Nik Kershaw,Zvooq,,,hanging in the balance
203,Play the album  Vibrations by Marion Elise Raven,,,album,,Marion Elise Raven,,,,Vibrations
204,play a track by Mila Islam from Deezer,,,track,,Mila Islam,Deezer,,,
205,play Jawad Ahmad,,,,,Jawad Ahmad,,,,
206,play fourties tunes by Bryan Webb on Groove Shark,fourties,,,,Bryan Webb,Groove Shark,,,
207,play Party Ben on Slacker,,,,,Party Ben,Slacker,,,
208,Use Groove Shark to play music from the nineties,nineties,,,,,Groove Shark,,,
209,Play eighties music,eighties,,,,,,,,
210,play my Madrugando playlist on Groove Shark,,Madrugando,,,,Groove Shark,,,
211,play Darude,,,,,Darude,,,,
212,Play Shinji Miyazaki 's music on netflix,,,,,Shinji Miyazaki,netflix,,,
213,Play 2gether by Jade Puget,,,,,Jade Puget,,,,2gether
214,play Wow by Jon Theodore,,,,,Jon Theodore,,,Wow,
215,play Doctor Fink  if i could choose,,,,,Doctor Fink,,,if i could choose,
216,Please open pandora for me,,,,,,pandora,,,
217,Can I hear a tune from Vladimir Vysotski ?,,,tune,,Vladimir Vysotski,,,,
218,Please play Different Slanguages by Fred Labour .,,,,,Fred Labour,,,,Different Slanguages
219,play music from the sixties,sixties,,,,,,,,
220,I want to hear Somi 's songs from the twenties,twenties,,,,Somi,,,,
221,play Tom Jones  album from the twenties,twenties,,album,,Tom Jones,,,,
222,play songs on Itunes,,,,,,Itunes,,,
223,play a chant by Sonsee,,,chant,,Sonsee,,,,
224,Play my Piano Ballads playlist.,,Piano Ballads,,,,,,,
225,play the album  a kiss before you go by Bt,,,album,,Bt,,,,a kiss before you go
226,Play the Instrumental Study on Vimeo .,,Instrumental Study,,,,Vimeo,,,
227,Play some salsa music.,,,,,,,salsa,,
228,Play top  Rosanne Cash,,,,top,Rosanne Cash,,,,
229,play Slacker tunes,,,,,,Slacker,,,
230,Play the most popular  soundtrack by Elena Paparizou on youtube,,,soundtrack,most popular,Elena Paparizou,youtube,,,
231,Play Midnight Special,,,,,,,,Midnight Special,
232,play pop music with Groove Shark,,,,,,Groove Shark,pop,,
233,play Takes Place In Your Work Space by Eddie Kendricks,,,,,Eddie Kendricks,,,,Takes Place In Your Work Space
234,Play eighties music by Kaira Kwong on Google Music,eighties,,,,Kaira Kwong,Google Music,,,
235,play 1970 trunes,1970,,,,,,,,
236,Play breathtaking music,,breathtaking,,,,,,,
237,Play a track from 1985 .,1985,,track,,,,,,
238,Play shining down by Tsukiko Amano on pandora .,,,,,Tsukiko Amano,pandora,,shining down,
239,play Who Do You Think You Are by Magnifico with spotify,,,,,Magnifico,spotify,,Who Do You Think You Are,
240,Play tribal,,,,,,,tribal,,
241,Play Rain by Subliminal on Groove Shark,,,,,Subliminal,Groove Shark,,Rain,
242,Play ballad music from 1958,1958,,ballad,,,,,,
243,Repeat the track of music,,,track,,,,,Repeat,
244,Play the playlist introspective,,introspective,,,,,,,
245,Please play a song from the thirties by Peter Murphy on Last Fm,thirties,,song,,Peter Murphy,Last Fm,,,
246,Play Party Through The Decades on Deezer,,Party Through The Decades,,,,Deezer,,,
247,Play Martha My Dear by shannon .,,,,,shannon,,,Martha My Dear,
248,play the greatest  Adrian Kowanek music,,,,greatest,Adrian Kowanek,,,,
249,Can I hear a symphony from the seventies on Youtube ?,seventies,,symphony,,,Youtube,,,
250,I'd like to listen to Space music,,,,,,,Space,,
251,play the last  Niney The Observer  song,,,song,last,Niney The Observer,,,,
252,Play a chant by Mj Cole,,,chant,,Mj Cole,,,,
253,Play industrial music.,,,,,,,industrial,,
254,Play always by walter parazaider .,,,,,walter parazaider,,,always,
255,Play thirties on Lastfm,thirties,,,,,Lastfm,,,
256,play music form the fourties with Slacker,fourties,,,,,Slacker,,,
257,Use pandora to play music from stano in the year 2005,2005,,,,stano,pandora,,,
258,Use Groove Shark to play Krizz Kaliko,,,,,Krizz Kaliko,Groove Shark,,,
259,Play the music of Filipp Bedrossowitsch Kirkorow 's theme,,,theme,,Filipp Bedrossowitsch Kirkorow,,,,
260,Play Skin & Bone by Jess Stacy on Deezer,,,,,Jess Stacy,Deezer,,,Skin & Bone
261,Play me a seventies  ep,seventies,,ep,,,,,,
262,play falco on Zvooq for Good Hit,,,,,falco,Zvooq,,Good Hit,
263,On Itunes play the latest  Anna Yesipova  ep,,,ep,latest,Anna Yesipova,Itunes,,,
264,Play music from the track  She Came In Through The Bathroom Window,,,track,,,,,She Came In Through The Bathroom Window,
265,play some best selling rave songs,,,,best,,,rave,,
266,Play Change Has Come on Google Music .,,,,,,Google Music,,,Change Has Come
267,Play the newest stuff by blowfly,,,,newest,blowfly,,,,
268,Play the playlist spring,,spring,,,,,,,
269,I want to hear something from the nineties by Alissa Musto on Groove Shark,nineties,,,,Alissa Musto,Groove Shark,,,
270,Play Trace Adkins ' music from the thirties .,thirties,,,,Trace Adkins,,,,
271,Play a soundtrack from 1954 .,1954,,soundtrack,,,,,,
272,"Can you play something from the fourties , preferably a symphony ?",fourties,,symphony,,,,,,
273,play Clifford Brown All Stars by Michael Balzary,,,,,Michael Balzary,,,,Clifford Brown All Stars
274,play Pandora  Christian Gangsta Rap,,,,,,Pandora,Christian Gangsta Rap,,
275,Play any chanson,,,,,,,chanson,,
276,Play a chant from the fifties,fifties,,chant,,,,,,
277,Play Leanne Dobinson  Right To Dream,,,,,Leanne Dobinson,,,Right To Dream,
278,play The Happiest Days Of Our Lives by Tommy Emmanuel,,,,,Tommy Emmanuel,,,The Happiest Days Of Our Lives,
279,Please play This Is The Day by Brian Robertson .,,,,,Brian Robertson,,,,This Is The Day
280,play Abhijeet Bhattacharya from 1986,1986,,,,Abhijeet Bhattacharya,,,,
281,Play a new  tune by louis silvers .,,,tune,new,louis silvers,,,,
282,Play me a song by Steve Hackett from Manuel,,,song,,Steve Hackett,,,,Manuel
283,Play Portsmouth by Paul Smith on Google Music .,,,,,Paul Smith,Google Music,,Portsmouth,
284,Play Dj Drama from the 1976,1976,,,,Dj Drama,,,,
285,play my tribute by Billy Cox,,,,,Billy Cox,,,my tribute,
286,"Play the playlist, Hardstyle, Baby .",,"Hardstyle, Baby",,,,,,,
287,Play me a sound track by Bert Mccracken on zvooq,,,sound track,,Bert Mccracken,zvooq,,,
288,Play some music from the fourties .,fourties,,,,,,,,
289,Play music on Itunes .,,,,,,Itunes,,,
290,I want to hear a Sandra  ep,,,ep,,Sandra,,,,
291,play theme by Yanni on Vimeo,,,theme,,Yanni,Vimeo,,,
292,play fourties tunes,fourties,,,,,,,,
293,Play a 2004  song by eliel on Zvooq .,2004,,song,,eliel,Zvooq,,,
294,Play some music on Vimeo,,,,,,Vimeo,,,
295,Play the newest music by Gladys Knight,,,,newest,Gladys Knight,,,,
296,play Hora Din Moldova by Yamazaki Maso,,,,,Yamazaki Maso,,,Hora Din Moldova,
297,play the album  Winner Takes All by Takuro with Last Fm,,,album,,Takuro,Last Fm,,,Winner Takes All
298,Play the best  ballad by The Rascals .,,,ballad,best,The Rascals,,,,
299,Play me the track  Mama Liked The Roses,,,track,,,,,Mama Liked The Roses,
300,Play eighties,eighties,,,,,,,,
301,Play a 2014  theme from Greg Pattillo,2014,,theme,,Greg Pattillo,,,,
302,Play some music from Roberto Carlos,,,,,Roberto Carlos,,,,
303,Play the concert from Philip Oakey  1973 concert on Netflix,1973,,,,Philip Oakey,Netflix,,,
304,Play some music from 1995,1995,,,,,,,,
305,Play Kaori Mochida 's most popular music on Google Music .,,,,most popular,Kaori Mochida,Google Music,,,
306,Play A Chaos Of Desire from Dan Snaith,,,,,Dan Snaith,,,,A Chaos Of Desire
307,Play music by Country Dick Montana .,,,,,Country Dick Montana,,,,
308,play chant from the nineties with Last Fm,nineties,,chant,,,Last Fm,,,
309,Play a top 5  song from Wally Bastian on Google Music,,,song,top 5,Wally Bastian,Google Music,,,
310,Play White Noise .,,White Noise,,,,,,,
311,Play ep from Quasimoto from the nineties,nineties,,ep,,Quasimoto,,,,
312,play a 1988  soundtrack,1988,,soundtrack,,,,,,
313,Play a popular  sound track by Joe Pass on Itunes .,,,sound track,popular,Joe Pass,Itunes,,,
314,Play something from the jonathon lee  movement,,,movement,,jonathon lee,,,,
315,play James Moody  ballad,,,ballad,,James Moody,,,,
316,I want to listen to some music from 2003 on Pandora from them,2003,,them,,,Pandora,,,
317,play a top 50  tune from the twenties by Willi Williams,twenties,,tune,top 50,Willi Williams,,,,
318,play fifties  track music,fifties,,track,,,,,,
319,Play theme music from 2011 .,2011,,theme,,,,,,
320,play music by Billy Powell,,,,,Billy Powell,,,,
321,Play One Good Reason by Tommy Flanagan on Itunes,,,,,Tommy Flanagan,Itunes,,One Good Reason,
322,Play some fun-punk,,,,,,,fun-punk,,
323,Play me a song by Dj Paul Elstak in 1988 on Zvooq,1988,,song,,Dj Paul Elstak,Zvooq,,,
324,Play Hasan Saltik from 2004,2004,,,,Hasan Saltik,,,,
325,I want to hear popular music from Martin Lopez,,,,popular,Martin Lopez,,,,
326,Play A Sudden Rainstorm playlist.,,A Sudden Rainstorm,,,,,,,
327,play wendy james from the fifties,fifties,,,,wendy james,,,,
328,Use Itunes to play music,,,,,,Itunes,,,
329,Play a Paul Davis  melody,,,melody,,Paul Davis,,,,
330,Play Lorenzo Palacios Quispe,,,,,Lorenzo Palacios Quispe,,,,
331,Put on Vimeo and play Kacapi Suling,,,,,,Vimeo,Kacapi Suling,,
332,play a soundtrack by Sarah Geronimo on google music,,,soundtrack,,Sarah Geronimo,google music,,,
333,Play me a song from 1976 by Bennie Moten,1976,,song,,Bennie Moten,,,,
334,I want to hear eighties music by Noko on deezer .,eighties,,,,Noko,deezer,,,
335,Play some Glenn Miller .,,,,,Glenn Miller,,,,
336,Can I hear a song by David Hodges ?,,,song,,David Hodges,,,,
337,Play The New Retro playlist on Netflix .,,The New Retro,,,,Netflix,,,
338,Play some P. J. Proby,,,,,P. J. Proby,,,,
339,Play soundtrack by Armand Van Helden,,,soundtrack,,Armand Van Helden,,,,
340,Play The Lamentation Of Cloris,,,,,,,,The Lamentation Of Cloris,
341,I want to hear the new Latin Pop Rising list,,Latin Pop Rising,,,,,,,
342,Please play some music from the seventies  movement,seventies,,movement,,,,,,
343,play Signe Anderson  chant music that is newest,,,chant,newest,Signe Anderson,,,,
344,play Richard Thompson from the thirties  song book,thirties,,song,,Richard Thompson,,,,
345,Play funtime activity,,funtime activity,,,,,,,
346,Play me a song from Luxury Liner,,,song,,,,,,Luxury Liner
347,I want to hear De Eerste Keer from Paul Caiafa off of Google Music,,,,,Paul Caiafa,Google Music,,De Eerste Keer,
348,Play a sixties  song .,sixties,,song,,,,,,
349,I want to hear some twenties music off of Deezer,twenties,,,,,Deezer,,,
350,Play some movement from 1959 on deezer .,1959,,movement,,,deezer,,,
351,play songs by Queen,,Queen,,,,,,,
352,Please play good music by Will Oldham .,,,,good,Will Oldham,,,,
353,Play a song from the thirties on Zvooq,thirties,,song,,,Zvooq,,,
354,play Vanlose Stairway by Janove Ottesen,,,,,Janove Ottesen,,,Vanlose Stairway,
355,Play me the last  1980  record by Brenda Kahn,1980,,record,last,Brenda Kahn,,,,
356,Play music from the top-5 from artist Kenia Arias,,,,top-5,Kenia Arias,,,,
357,Lets hear some 2009 music,2009,,,,,,,,
358,Play some bass music.,,,,,,,bass,,
359,Play Furusato on Google Music .,,,,,,Google Music,,Furusato,
360,Play Party Anthems,,Party Anthems,,,,,,,
361,use Iheart radio to play eighties music from Hugh Masekela .,eighties,,,,Hugh Masekela,Iheart,,,
362,Play a symphony from Bob Hardy please,,,symphony,,Bob Hardy,,,,
363,Play some eighties music.,eighties,,,,,,,,
364,Play a 1964  track from Shahram Nazeri on Pandora .,1964,,track,,Shahram Nazeri,Pandora,,,
365,Sort to the last  song on playlist from 1983 a chant by Mark Oliver Everett,1983,,chant,last,Mark Oliver Everett,,,,
366,Play a new  symphony by Perfecto De Castro on Lastfm,,,symphony,new,Perfecto De Castro,Lastfm,,,
367,Play some music from the thirties .,thirties,,,,,,,,
368,Play some Matthew Sweet music from around 1996 on Spotify,1996,,,,Matthew Sweet,Spotify,,,
369,open lastfm play top hits of Simon Webbe,,,,top,Simon Webbe,lastfm,,,
370,play 1981 music on Last Fm,1981,,,,,Last Fm,,,
371,Play a track from 1959 .,1959,,track,,,,,,
372,Play chant music by Big Dee Irwin .,,,chant,,Big Dee Irwin,,,,
