,text,best_rating,rating_unit,object_select,rating_value,object_part_of_series_type,object_name,object_type
106,rate the current  chronicle series  3 out of 6  points,6,points,current,3,chronicle series,,
107,Rate this  novel  three out of 6,6,,this,three,,,novel
108,I give One Clear Call  zero out of 6  points,6,points,,zero,,One Clear Call,
109,rate The Practice of the Presence of God  one of 6  points,6,points,,one,,The Practice of the Presence of God,
110,give 0 out of 6  points to this  essay,6,points,this,0,,,essay
111,I would give Half a Life  3 out of 6,6,,,3,,Half a Life,
112,rate the Beyond Black  saga a one,,,,one,saga,Beyond Black,
113,Rate this  essay a four,,,this,four,,,essay
114,Rate the current  novel  5 of 6  points,6,points,current,5,,,novel
115,give 5 out of 6  points to Short Trips: A Universe of Terrors,6,points,,5,,Short Trips: A Universe of Terrors,
116,I give this book  Dictionary of the English Language a 4 rating,,,,4,,Dictionary of the English Language,book
117,rate Of Old Hearts and Swords a 0 ,,,,0,,Of Old Hearts and Swords,
118,give the following  essay  one  stars,,stars,following,one,,,essay
119,give one  points to current  book,,points,current,one,,,book
120,rate the current  novel  zero  points,,points,current,zero,,,novel
121,I am giving this  novel  3  stars,,stars,this,3,,,novel
122,And a body to remember with gets a full 5  stars .,,stars,,5,,And a body to remember with,
123,Rate Witchcraft and Paganism in Australia  1  points out of 6,6,points,,1,,Witchcraft and Paganism in Australia,
124,Rate the current  textbook  one of 6  stars,6,stars,current,one,,,textbook
125,rate The White Goddess  2 of 6,6,,,2,,The White Goddess,
126,I am rating this  book under the series section a three out of 6  stars,6,stars,this,three,series,,book
127,Rate the current  essay  5 of 6  points,6,points,current,5,,,essay
128,For this  novel I give a rating of 4 out of 6 ,6,,this,4,,,novel
129,I give Ruled Britannia a rating of five out of 6 .,6,,,five,,Ruled Britannia,
130,Give 4  points / 6 to Last Day in Limbo,6,points,,4,,Last Day in Limbo,
131,I rate 4 of 6  points for this  textbook,6,points,this,4,,,textbook
132,this  book gets a 1 out of 6 rating from me.,6,,this,1,,,book
133,I want to give Think Like a Freak  one  stars,,stars,,one,,Think Like a Freak,
134,rate the current  essay a one,,,current,one,,,essay
135,The Voyage of the Dawn Treader deserves 5  points .,,points,,5,,The Voyage of the Dawn Treader,
136,Award Blood tables  2  points,,points,,2,,Blood tables,
137,Give the current  novel a one out of 6 rating.,6,,current,one,,,novel
138,"Who rated the book Women, Culture, and Society only 3  stars ?",,stars,,3,,"Women, Culture, and Society",
139,rate the current  textbook  zero out of 6  points,6,points,current,zero,,,textbook
140,give two out of 6 to current  book,6,,current,two,,,book
141,I give this last  novel only 1  points,,points,last,1,,,novel
142,Rate the current  textbook a 4,,,current,4,,,textbook
143,give four  points to current  essay,,points,current,four,,,essay
144,The Cool World gets 4  points,,points,,4,,The Cool World,
145,rate The Sunrise Lands a zero,,,,zero,,The Sunrise Lands,
146,Rate Lords of the Rim  zero  stars,,stars,,zero,,Lords of the Rim,
147,"Give The Frog Prince, Continued  2  points out of 6 .",6,points,,2,,"The Frog Prince, Continued",
148,Rate Sandworms of Dune  three out of 6  stars,6,stars,,three,,Sandworms of Dune,
149,Rate current  book  2 of 6 ,6,,current,2,,,book
150,rate the current  book  5 of 6  points,6,points,current,5,,,book
151,score this  album  5  stars,,stars,this,5,,,album
152,I give The Universe Maker a rating of zero,,,,zero,,The Universe Maker,
153,give 3  points to current  textbook,,points,current,3,,,textbook
154,A Day No Pigs Would Die deserves a best rating of 6 and a value of 4,6,,,4,,A Day No Pigs Would Die,
155,I think the current  album should get a four out of 6 rating.,6,,current,four,,,album
156,"rate Goodbye, Mr. Chips  one  stars",,stars,,one,,"Goodbye, Mr. Chips",
157,The current  album deserves 0  stars,,stars,current,0,,,album
158,Give this  chronicle a 4,,,this,4,chronicle,,
159,give one out of 6  points to this  essay,6,points,this,one,,,essay
160,I'd like to give a two rating to The Abolition of Britain .,,,,two,,The Abolition of Britain,
161,rate the current  book  0 of 6 ,6,,current,0,,,book
162,Rate They Came from the Sea  1 of 6  points,6,points,,1,,They Came from the Sea,
163,the stars for Behind the Beat should number four for this chronicle,,stars,,four,chronicle,Behind the Beat,
164,I think Memorial Day should have a rating value of 3 and a best rating of 6,6,,,3,,Memorial Day,
165,I want to give the current  textbook  0  stars,,stars,current,0,,,textbook
166,Glory Season deserves a perfect 5  points .,,points,,5,,Glory Season,
167,give three out of 6  points to this  album,6,points,this,three,,,album
168,I give a rating of four to this  textbook .,,,this,four,,,textbook
169,rate this  essay  four  stars,,stars,this,four,,,essay
170,Rate current  essay a zero,,,current,zero,,,essay
171,rate the current  essay a 0 for me,,,current,0,,,essay
172,give Begums Thugs and White Mughals  four  points,,points,,four,,Begums Thugs and White Mughals,
173,give Portions from a Wine-stained Notebook: Short Stories and Essays  0  points ,,points,,0,,Portions from a Wine-stained Notebook: Short Stories and Essays,
174,I would rate The Kid from Hell a value of 1 and a best rating of 6,6,,,1,,The Kid from Hell,
175,rate the current  novel  five out of 6  stars,6,stars,current,five,,,novel
176,Rate Notes from the Internet Apocalypse  four of 6  stars,6,stars,,four,,Notes from the Internet Apocalypse,
177,Rate this  novel  four of 6,6,,this,four,,,novel
178,Give Letty Fox: Her Luck  4 out of 6  stars,6,stars,,4,,Letty Fox: Her Luck,
179,I give the current  textbook  0 of 6  points,6,points,current,0,,,textbook
180,give this  album a 4 out of 6,6,,this,4,,,album
181,give two  points out of 6 to this  essay,6,points,this,two,,,essay
182,rate the current  saga  4 of 6,6,,current,4,saga,,
183,Rate this  essay with three of 6 .,6,,this,three,,,essay
184,rate the current  essay with 4  points ,,points,current,4,,,essay
185,Rate this  essay a four,,,this,four,,,essay
186,Give this  novel a rating of 1  points .,,points,this,1,,,novel
187,Rate current  book  0,,,current,0,,,book
188,rate Six Months in Mexico  1 out of 6,6,,,1,,Six Months in Mexico,
189,Give two  stars to Scribblings,,stars,,two,,Scribblings,
190,"I want to give Rebbe: The Life and Teachings of Menachem M. Schneerson, the Most Influential Rabbi in Modern History  two out of 6  points",6,points,,two,,"Rebbe: The Life and Teachings of Menachem M. Schneerson, the Most Influential Rabbi in Modern History",
191,Rate this  book  0 of 6  points,6,points,this,0,,,book
192,Rate The War of the Roses  2 out of 6,6,,,2,,The War of the Roses,
193,Rate The Longest Day with zero  stars out of 6 .,6,stars,,zero,,The Longest Day,
194,Give Star Trek: The Motion Picture a five out of 6 .,6,,,five,,Star Trek: The Motion Picture,
195,Rate Colorless Tsukuru Tazaki and His Years of Pilgrimage  one  stars,,stars,,one,,Colorless Tsukuru Tazaki and His Years of Pilgrimage,
196,I only give Blood Work  two  stars,,stars,,two,,Blood Work,
197,rate the current  chronicle a five,,,current,five,chronicle,,
198,give The Last Child  4 of 6 ,6,,,4,,The Last Child,
199,For this current  essay I give 5 of 6  points,6,points,current,5,,,essay
200,Rate my current  textbook  four out of 6,6,,current,four,,,textbook
201,give 4 out of 6  stars to this  textbook,6,stars,this,4,,,textbook
202,Give this  album  0  stars,,stars,this,0,,,album
203,Rate the current  novel  one of 6,6,,current,one,,,novel
204,this  essay is five  stars for sure,,stars,this,five,,,essay
205,Rate this  book a five ,,,this,five,,,book
206,I give The Screaming Staircase a five .,,,,five,,The Screaming Staircase,
207,rate the current  series  1  points,,points,current,1,series,,
208,rate Lost Empires of Faerûn  five of 6  stars,6,stars,,five,,Lost Empires of Faerûn,
209,give 0  points to The Eudaemonic Pie,,points,,0,,The Eudaemonic Pie,
210,The Evil Experiment gets zero out of 6  points,6,points,,zero,,The Evil Experiment,
211,Rate my current  album  5  points,,points,current,5,,,album
212,Rate the current  novel  5 of 6  points,6,points,current,5,,,novel
213,Rate this  novel  1 of 6,6,,this,1,,,novel
214,I would rate this  essay  2  stars and a best rating of 6,6,stars,this,2,,,essay
215,rate my current  novel  four out of 6  stars,6,stars,current,four,,,novel
216,I would say this  essay deserves four  points,,points,this,four,,,essay
217,I would like to rate the book  The Three Impostors  2 to 6  stars .,6,stars,,2,,The Three Impostors,book
218,rate the current  textbook  2 out of 6,6,,current,2,,,textbook
219,Rate this  book  three out of 6,6,,this,three,,,book
220,Rate Mimi and the Biscuit Factory  5 out of 6,6,,,5,,Mimi and the Biscuit Factory,
221,rate Varney the Vampire with 1  points,,points,,1,,Varney the Vampire,
222,Rate The Doors of Perception  3  stars,,stars,,3,,The Doors of Perception,
223,give 4  stars to this  essay,,stars,this,4,,,essay
224,Rate the current  textbook  five of 6,6,,current,five,,,textbook
225,the series  City on Fire is a four,,,,four,series,City on Fire,
226,Rate the Why Is Sex Fun?  saga  two of 6,6,,,two,saga,Why Is Sex Fun?,
227,I want to give Panther in the Basement  four  points,,points,,four,,Panther in the Basement,
228,rate the book  The Ninth Avatar  3 out of 6  stars,6,stars,,3,,The Ninth Avatar,book
229,Give Love in the Time of Foreclosure  4 of 6,6,,,4,,Love in the Time of Foreclosure,
230,Rate the current  textbook  four out of 6,6,,current,four,,,textbook
231,I would rate The Persistence of Vision  1  stars and a best rating of 6,6,stars,,1,,The Persistence of Vision,
232,Give this current  book  zero out of 6,6,,current,zero,,,book
233,I want to rate A Long Short War  series a four out of 6 .,6,,,four,series,A Long Short War,
234,Give Physics of the Impossible  four  points .,,points,,four,,Physics of the Impossible,
235,I want to give this  album  4  stars,,stars,this,4,,,album
236,Add rating of 5 to this  novel,,,this,5,,,novel
237,rate this  album  one  stars,,stars,this,one,,,album
238,For the book  The Sting of the Scorpion I give three of a possiable 6 rating,6,,,three,,The Sting of the Scorpion,book
239,Rate the Rogue Lawyer  4 out of 6,6,,,4,,Rogue Lawyer,
240,Give three  points out of 6 to One Hundred Poems of Tukaram,6,points,,three,,One Hundred Poems of Tukaram,
241,I want to give Elephants Can Remember  4 out of 6  points,6,points,,4,,Elephants Can Remember,
242,Rate this  album  three of 6  points,6,points,this,three,,,album
243,rate This Is How You Die  chronicle a one,,,,one,chronicle,This Is How You Die,
244,rate the book  Giants of the Frost  two out of 6  points,6,points,,two,,Giants of the Frost,book
245,I think this  textbook should have a rating of four and a best rating of 6,6,,this,four,,,textbook
246,I give this  novel a 0 out of 6 rating,6,,this,0,,,novel
247,give zero  points to this  essay,,points,this,zero,,,essay
248,rate this  book  3  stars,,stars,this,3,,,book
249,I would like to rate this  album  3  points and a best rating of 6,6,points,this,3,,,album
250,rate the current  album  5 out of 6  points,6,points,current,5,,,album
251,give Power of Faerûn  two of 6,6,,,two,,Power of Faerûn,
252,rate this  album  2  points,,points,this,2,,,album
253,rate the current  chronicle  0 of 6  stars,6,stars,current,0,chronicle,,
254,Rate this  essay a two out of 6,6,,this,two,,,essay
255,Rate this current  essay  1 out of 6  points,6,points,current,1,,,essay
256,Give this  book  chronicle  four  stars,,stars,this,four,chronicle,,book
257,Rate this  essay  five  points,,points,this,five,,,essay
258,Rate this  essay  five  stars,,stars,this,five,,,essay
259,give this  textbook a 5 out of 6 rating,6,,this,5,,,textbook
260,Rate The Philosophic Thought of Ayn Rand  three of 6  stars,6,stars,,three,,The Philosophic Thought of Ayn Rand,
261,Give The Whisperer a rating of 0 .,,,,0,,The Whisperer,
262,Can you rate this  novel as a four ?,,,this,four,,,novel
263,rate the last  textbook  three  stars,,stars,last,three,,,textbook
264,Please rate Think Like a Freak  3  points out of 6 .,6,points,,3,,Think Like a Freak,
265,the current  book I'm reading should be rated zero out of 6,6,,current,zero,,,book
266,I give The Battle of Bretton Woods  saga  two of 6  stars,6,stars,,two,saga,The Battle of Bretton Woods,
267,Rate this  album  0  points,,points,this,0,,,album
268,give five out of 6  stars to current  essay,6,stars,current,five,,,essay
269,this  saga is definitely worth 4  stars .,,stars,this,4,saga,,
270,gve 2  points to The Stinky Cheese Man and Other Fairly Stupid Tales,,points,,2,,The Stinky Cheese Man and Other Fairly Stupid Tales,
271,"Give The Crisis , one / 6  points",6,points,,one,,The Crisis,
272,I gave Chart Throb  4 of 6  stars,6,stars,,4,,Chart Throb,
273,rate this book called Kings of the High Frontier  four  points,,points,,four,,Kings of the High Frontier,book
274,Give this  book a rating of two out of 6 .,6,,this,two,,,book
275,I give this  album a 0 of 6  stars,6,stars,this,0,,,album
276,I want to rate the Selected Letters of H. P. Lovecraft I  saga  3  stars,,stars,,3,saga,Selected Letters of H. P. Lovecraft I,
277,Rate the current  album a 3 .,,,current,3,,,album
278,"rate the book  series  I, Robot  one out of 6  stars",6,stars,,one,series,"I, Robot",book
279,I give this current  textbook  five  stars,,stars,current,five,,,textbook
280,this  chronicle gets a three out of 6 .,6,,this,three,chronicle,,
281,Give this  novel  two  points,,points,this,two,,,novel
282,give one out of 6  points to current  series,6,points,current,one,series,,
283,Rate this  textbook  two out of 6,6,,this,two,,,textbook
284,"For the textbook , out of 6 possible I give the following one a 3 .",6,,following,3,,,textbook
285,Rate this  textbook  1 of 6,6,,this,1,,,textbook
286,rate the current  series a zero,,,current,zero,series,,
287,rate The Detective a 3 out of 6,6,,,3,,The Detective,
288,give 0  points to The Hand in the Glove,,points,,0,,The Hand in the Glove,
289,rate this  novel a 1 of 6 for me,6,,this,1,,,novel
290,I give this  essay  0 of 6  stars,6,stars,this,0,,,essay
291,Rate this  album  3 out of 6,6,,this,3,,,album
292,Rate The Last Opium Den  0  points,,points,,0,,The Last Opium Den,
293,rate the current  essay  2  stars,,stars,current,2,,,essay
294,Give the current  series a one .,,,current,one,series,,
295,Give the current part of the series  1  points .,,points,current,1,series,,
296,Rate In Search of Our Origins  two  points out of 6 .,6,points,,two,,In Search of Our Origins,
297,rate this book  The Book of Snobs  1  points,,points,,1,,The Book of Snobs,book
298,give the Racing the Rain  saga  zero  stars,,stars,,zero,saga,Racing the Rain,
299,Programming the Universe is average and deserves three  stars out of 6 .,6,stars,,three,,Programming the Universe,
300,For this  series I give the rating of four of 6  stars,6,stars,this,four,series,,
301,I think this  book should have a rating value of 1 and a best rating of 6,6,,this,1,,,book
302,I would rate The Door to December  3  points and a best rating of 6,6,points,,3,,The Door to December,
303,this  textbook only gets two out of 6  stars,6,stars,this,two,,,textbook
304,I rate the current  textbook a 0 of 6,6,,current,0,,,textbook
305,Give this  book  1  stars .,,stars,this,1,,,book
306,Give this  book  zero  stars,,stars,this,zero,,,book
307,I am giving Paedophilia: The Radical Case a rating of 2 out of 6  points,6,points,,2,,Paedophilia: The Radical Case,
308,put a rating of 0 out of 6 to this  chronicle,6,,this,0,chronicle,,
309,give 0 to The Sky Village,,,,0,,The Sky Village,
310,I give a rating of 2 to the book Swine Not?,,,,2,,Swine Not?,
311,four out of 6  stars for the previous  essay,6,stars,previous,four,,,essay
312,add five  stars to my current  chronicle,,stars,current,five,chronicle,,
313,I want to rate The Medici Seal  two out of 6  points,6,points,,two,,The Medici Seal,
314,I would give this current  novel  2  stars with a best rating of 6,6,stars,current,2,,,novel
315,Rate the current  book a zero .,,,current,zero,,,book
316,Give The Fox and the Hound a 1,,,,1,,The Fox and the Hound,
317,give 4 out of 6  stars to current  chronicle,6,stars,current,4,chronicle,,
318,five  points for this  novel,,points,this,five,,,novel
319,rate the Broke: Who Killed the Middle Classes?  chronicle a five,,,,five,chronicle,Broke: Who Killed the Middle Classes?,
320,rate this  novel  five  points,,points,this,five,,,novel
321,rate Gray Mountain a zero,,,,zero,,Gray Mountain,
322,rate this  essay  four out of 6,6,,this,four,,,essay
323,I would rate Oblivion: Stories a two,,,,two,,Oblivion: Stories,
324,the last  essay is a 2 out of 6,6,,last,2,,,essay
325,I gave the current  chronicle a 3 of 6,6,,current,3,chronicle,,
326,The Battle for Skies gets a three,,,,three,,The Battle for Skies,
327,I would give the series  History Decoded: The 10 Greatest Conspiracies of All Time a rating of 3  points,,points,,3,series,History Decoded: The 10 Greatest Conspiracies of All Time,
328,Rate Political Liberalism  1 out 6  stars,6,stars,,1,,Political Liberalism,
329,Please rate the current  album  4  stars .,,stars,current,4,,,album
330,Give this  chronicle  4  stars,,stars,this,4,chronicle,,
331,rate the previous  essay  four of 6  points,6,points,previous,four,,,essay
332,I want to give The First Person and Other Stories  0 out of 6  stars,6,stars,,0,,The First Person and Other Stories,
333,rate the current  album  2  points out of 6,6,points,current,2,,,album
334,rate the book  The Egoist  five out of 6,6,,,five,,The Egoist,book
335,give 1 out of 6  points for Collected Works,6,points,,1,,Collected Works,
336,rate this  book a zero,,,this,zero,,,book
337,Rate the current  book  0  stars,,stars,current,0,,,book
338,rate Winnie-the-Pooh  four out of 6,6,,,four,,Winnie-the-Pooh,
339,Rate The Man from the USSR and Other Plays a 0,,,,0,,The Man from the USSR and Other Plays,
340,Give this  book a rating of 3 out of 6  points .,6,points,this,3,,,book
341,rate the book  Oath of Swords  three for 6,6,,,three,,Oath of Swords,book
342,Rate The Strange Death of Tory England  1  stars,,stars,,1,,The Strange Death of Tory England,
343,I am giving the current  book  two  stars,,stars,current,two,,,book
344,rate First Man: The Life of Neil A. Armstrong  three of 6,6,,,three,,First Man: The Life of Neil A. Armstrong,
345,Rate Secret Weapon a four,,,,four,,Secret Weapon,
346,Rate the current  book  zero of 6  stars,6,stars,current,zero,,,book
347,rate the current  textbook  4 of 6  points,6,points,current,4,,,textbook
348,Rate A Division of the Spoils  5  stars,,stars,,5,,A Division of the Spoils,
349,I would rate this  book a value of 3 and a best rating of 6,6,,this,3,,,book
350,rate the book  Strumpet City  zero for 6,6,,,zero,,Strumpet City,book
351,Give five  points to An Ice-Cream War,,points,,five,,An Ice-Cream War,
352,give 3 out of 6  points to The Secrets of Love,6,points,,3,,The Secrets of Love,
353,Give the current  novel  4 of 6  stars,6,stars,current,4,,,novel
354,Rate Renewable Electricity and the Grid  one  stars out of 6,6,stars,,one,,Renewable Electricity and the Grid,
355,Rate my current  book  five  points out of 6,6,points,current,five,,,book
356,give Jackass Investing a three,,,,three,,Jackass Investing,
357,Rate 5 out of 6  points to My Favorite Fantasy Story,6,points,,5,,My Favorite Fantasy Story,
358,rate this  textbook a 4,,,this,4,,,textbook
359,Rate this  essay  4 of 6  stars,6,stars,this,4,,,essay
360,I gave the current  series  0  points,,points,current,0,series,,
361,Rate the At the Villa Rose  series  3 of 6,6,,,3,series,At the Villa Rose,
362,rate this  book  1 out of 6,6,,this,1,,,book
363,put a rating on this  book of three,,,this,three,,,book
364,Rate this  novel  3 out of 6  points .,6,points,this,3,,,novel
365,give 2 out of 6  stars to current  chronicle,6,stars,current,2,chronicle,,
366,This current  book only nets 3 out of 6  points,6,points,current,3,,,book
367,Give this  book  2 out of 6  stars .,6,stars,this,2,,,book
368,Rate the current  book  3 out of 6,6,,current,3,,,book
369,rate Peveril of the Peak a five,,,,five,,Peveril of the Peak,
370,Rate The Empty Throne a 4,,,,4,,The Empty Throne,
371,When Religion Becomes Evil is only worth 1  stars,,stars,,1,,When Religion Becomes Evil,
372,I give the previous  novel  one out of 6  stars .,6,stars,previous,one,,,novel
373,Dragon Age: The Stolen Throne gets 1  points,,points,,1,,Dragon Age: The Stolen Throne,
374,Assign 0  points out of 6 to The Gate of Worlds,6,points,,0,,The Gate of Worlds,
375,I want to give The Cat Who Walks Through Walls a 1,,,,1,,The Cat Who Walks Through Walls,
376,I give the last  textbook  one out of 6  points .,6,points,last,one,,,textbook
377,Give Beauty Is in the Street  three out of 6  stars,6,stars,,three,,Beauty Is in the Street,
378,Rate Making Sense of Marx  2  stars .,,stars,,2,,Making Sense of Marx,
379,give Song of Scarabaeus  five of 6  stars,6,stars,,five,,Song of Scarabaeus,
380,Rate this  essay  1  stars,,stars,this,1,,,essay
381,I'd rate this  essay  1 out of 6,6,,this,1,,,essay
382,I rate Observations  one  points,,points,,one,,Observations,
383,give Wannabe: How The Spice Girls Reinvented Pop Fame  2  points,,points,,2,,Wannabe: How The Spice Girls Reinvented Pop Fame,
384,I give Life During Wartime a one out of 6 .,6,,,one,,Life During Wartime,
385,Rate Cotton Comes to Harlem a 2 ,,,,2,,Cotton Comes to Harlem,
386,Add a rating of zero  points out of 6 to The Inheritance of Loss,6,points,,zero,,The Inheritance of Loss,
387,For the book  The Mirrored Heavens I give one of a possiable 6  stars,6,stars,,one,,The Mirrored Heavens,book
388,I give this  book a 3 out of 6 .,6,,this,3,,,book
389,I would rate this  novel a four,,,this,four,,,novel
390,rate Break No Bones  series a 1 of 6,6,,,1,series,Break No Bones,
391,rate the current  album  5  points,,points,current,5,,,album
392,Give the Televised Morality  series a one .,,,,one,series,Televised Morality,
393,rate this  chronicle a 0,,,this,0,chronicle,,
394,rate the book  saga  A Coin in Nine Hands  0  points,,points,,0,saga,A Coin in Nine Hands,book
395,The Complex: How the Military Invades Our Everyday Lives has a best rating of 6  stars but I will give it zero,6,stars,,zero,,The Complex: How the Military Invades Our Everyday Lives,
