,text,playlist_owner,music_item,entity_name,artist,playlist
158,add this song to Rock Party,,song,,,Rock Party
159,I want to add lady maisry to my playlist lo que suena new york,my,,lady maisry,,lo que suena new york
160,I want to add an album to noreen's  endorphin rush playlist.,noreen's,album,,,endorphin rush
161,Add Famous to my playlist lo que suena new york,my,,Famous,,lo que suena new york
162,Add shawn camp to my  soulful disco playlist.,my,,,shawn camp,soulful disco
163,add bonobo to queen playlis,,,,bonobo,queen
164,add hold my liquor to electroNOW,,,hold my liquor,,electroNOW
165,Add Tobias Sammet to my  bring back the 90s list,my,,,Tobias Sammet,bring back the 90s
166,Add Jack Be Nimble to my  reggae bombastic list,my,,Jack Be Nimble,,reggae bombastic
167,add jan smit in endorphin rush,,,,jan smit,endorphin rush
168,add Rupee to my  Ultra Metal playlist,my,,,Rupee,Ultra Metal
169,Please add Liberty Forever to the road trip playlist.,,,Liberty Forever,,road trip
170,Add gene clark to diann's  chill out list,diann's,,,gene clark,chill out
171,Put another track in my  electronica & dance playlist.,my,track,,,electronica & dance
172,add the tune to the Indie Workout playlist,,tune,,,Indie Workout
173,Add david henry hwang to the This Is Nicky Jam playlist.,,,,david henry hwang,This Is Nicky Jam
174,add this Jane Olivor  track to my  The Sleep Machine Waterscapes,my,track,,Jane Olivor,The Sleep Machine Waterscapes
175,I would like this artist on drum & breaks .,,artist,,,drum & breaks
176,Include dschiwan gasparjan in beth's  rare groove playlist.,beth's,,,dschiwan gasparjan,rare groove
177,I'd like to add the artist  Jesper Kyd onto my  fresh electronic playlist.,my,artist,,Jesper Kyd,fresh electronic
178,add Joplin in Concert to my  feel good dinner,my,,Joplin in Concert,,feel good dinner
179,add Harry J to my  dubstep dangles dirty,my,,,Harry J,dubstep dangles dirty
180,add Partners in Crime to joann's  Lo Que Suena Los Angeles,joann's,,Partners in Crime,,Lo Que Suena Los Angeles
181,add this song onto hip hop gaming playlist,,song,,,hip hop gaming
182,Add this artist to my  This Is Philip Glass playlist,my,artist,,,This Is Philip Glass
183,I want to put look to you on the playlist named 80s Classic Hits,,,look to you,,80s Classic Hits
184,add No Secrets to power gaming playlist,,,,No Secrets,power gaming
185,Add track to Hit Remix,,track,,,Hit Remix
186,add ali lohan songs in Club Hits,,,,ali lohan,Club Hits
187,Add this tune to retrowave outrun,,tune,,,retrowave outrun
188,Add a track from The Edge to my  funk soul disco playlist,my,track,,The Edge,funk soul disco
189,add hold tight to my  throwback party,my,,hold tight,,throwback party
190,put Do You Love Me on my  acoustic soul playlist,my,,Do You Love Me,,acoustic soul
191,Add the name The 3rd World to the playlist Rock Me UP,,,The 3rd World,,Rock Me UP
192,Add this tune to my playlist named Women of Fresh Finds,my,tune,,,Women of Fresh Finds
193,add tune to atmospheric black metal playlist,,tune,,,atmospheric black metal
194,Add sammy hagar to Ultra Metal,,,,sammy hagar,Ultra Metal
195,Add 2120 south michigan avenue to my  laundry playlist,my,,2120 south michigan avenue,,laundry
196,Add Turk to the deep house playlist,,,,Turk,deep house
197,Add the name Not Fade Away to the playlist the midnight hour,,,Not Fade Away,,the midnight hour
198,add the artist to the 90's Baby Makers playlist,,artist,,,90's Baby Makers
199,Add parempi mies to the CafÃ© con Leche playlist.,,,parempi mies,,CafÃ© con Leche
200,Place this tune onto my  dinner for 2 playlist.,my,tune,,,dinner for 2
201,Add Exit to i love my 80's rollerdisco list,,,Exit,,i love my 80's rollerdisco
202,add darkest angels to my  SOS 48 2016,my,,darkest angels,,SOS 48 2016
203,Please put another tune into the laundry playlist.,,tune,,,laundry
204,add global underground 006 sydney to my  Best Metal of the New Millennium,my,,global underground 006 sydney,,Best Metal of the New Millennium
205,Add BSlade to women of k-pop playlist,,,,BSlade,women of k-pop
206,Add a bill deasy  track to the conexiones playlist.,,track,,bill deasy,conexiones
207,Add J J Cale to my  heavy gamer playlist.,my,,,J J Cale,heavy gamer
208,add album to metal overload playlist,,album,,,metal overload
209,Add the Keep Your Receipt EP to my  Digster Reggae playlist.,my,,Keep Your Receipt EP,,Digster Reggae
210,add country nights by A Journal of the Plague Year to playlist,,,A Journal of the Plague Year,,country nights
211,add ian gillan to my  Rock Party,my,,,ian gillan,Rock Party
212,Add Paul Young to my  Retrovisor,my,,,Paul Young,Retrovisor
213,Add nana tanimura to a sudden rainstorm,,,,nana tanimura,a sudden rainstorm
214,add Viktor Tsoi to my  sweet soul chillout playlist,my,,,Viktor Tsoi,sweet soul chillout
215,I want glam added to the ntc gym strong playlist,,,glam,,ntc gym strong
216,add this Ricardo Villalobos  track to under the surface,,track,,Ricardo Villalobos,under the surface
217,I want to add a song by w c clark to my  nerding around playlist,my,song,,w c clark,nerding around
218,Add connee boswell to the relaxing playlist.,,,,connee boswell,relaxing
219,Add Nicole Mitchell to my  Soul Revived list,my,,,Nicole Mitchell,Soul Revived
220,add artist to lo mejor de los 00's,,artist,,,lo mejor de los 00's
221,this track should go on my  evening chill playlist,my,track,,,evening chill
222,Add Claudine Longet to my  Ultimate 00s palylist,my,,,Claudine Longet,Ultimate 00s
223,add a mina caputo  album to my  after hours party ,my,album,,mina caputo,after hours party
224,Put frank portman in my playlist GOOD Music,my,,,frank portman,GOOD Music
225,Put this track from The Edge on my  funk soul disco playlist,my,track,,The Edge,funk soul disco
226,Add a Jang Nara  track to the hip hop gaming playlist.,,track,,Jang Nara,hip hop gaming
227,add kurious jorge to my  synth pop,my,,,kurious jorge,synth pop
228,add songs in 90's hip hop of artist,,artist,,,90's hip hop
229,Add Step to Me to the 50 ClÃ¡sicos playlist.,,,Step to Me,,50 ClÃ¡sicos
230,Add this track to the Sunshine Reggae playlist,,track,,,Sunshine Reggae
231,put this whole album on the playlist called old school metal,,album,,,old school metal
232,Add De Principii Evangelikum to my  Domingo Indie palylist,my,,De Principii Evangelikum,,Domingo Indie
233,add back at the velvet lounge to my  cleaning playlist,my,,back at the velvet lounge,,cleaning
234,add Hemanta Kumar Mukhopadhyay  album in Funky Jams,,album,,Hemanta Kumar Mukhopadhyay,Funky Jams
235,add track to kickass metal,,track,,,kickass metal
236,Add song to my  Pop Brasil,my,song,,,Pop Brasil
237,Please add Ruud Jolie to my playlist Guest List Polygon,my,,,Ruud Jolie,Guest List Polygon
238,Put this agent m  tune onto de cantautor espaÃ±ol .,,tune,,agent m,de cantautor espaÃ±ol
239,add this tune by Kurt James to the playlist latin pop classics,,tune,,Kurt James,latin pop classics
240,Include When I Paint My Masterpiece in my  Acoustic Spring playlist.,my,,When I Paint My Masterpiece,,Acoustic Spring
241,add ths album to my  Pachangueo Total,my,album,,,Pachangueo Total
242,add repent replenish repeat to Classical Moments in Movies ,,,repent replenish repeat,,Classical Moments in Movies
243,Add this song to this is no te va gustar playlist,,song,,,this is no te va gustar
244,add 157 Riverside Avenue to leticia's  animal humor playlist,leticia's,,157 Riverside Avenue,,animal humor
245,add tune to Composer Weekly Pauline Oliveros playlist,,tune,,,Composer Weekly Pauline Oliveros
246,Add Stuck on Nothing to my  Sax and the City playlist,my,,Stuck on Nothing,,Sax and the City
247,add armistead burwell smith iv to Blues Masters,,,,armistead burwell smith iv,Blues Masters
248,add an album in my playlist In The Name Of Blues,my,album,,,In The Name Of Blues
249,put United Abominations onto my  rare groove playlist,my,,United Abominations,,rare groove
250,Add LaGaylia Frazier to my  emotron,my,,,LaGaylia Frazier,emotron
251,I want to add a song by w c clark to my  nerding around playlist,my,song,,w c clark,nerding around
252,add a shot at glory to calm before the storm,,,a shot at glory,,calm before the storm
253,add this artist to the playlist called Fusion Fest,,artist,,,Fusion Fest
254,add song to my  mellow beats list,my,song,,,mellow beats
255,Add Don and Sherri to the electrosafari playlist.,,,Don and Sherri,,electrosafari
256,Can you put a song by jessica mauboy on my playlist entitled a sudden rainstorm,my,song,,jessica mauboy,a sudden rainstorm
257,add M-CABI to the playlist named Pre-Party R&B Jams,,,M-CABI,,Pre-Party R&B Jams
258,Add a song to in residence metal hammer episode 6,,song,,,in residence metal hammer episode 6
259,Add The Stars and Stripes Forever to the soulful disco playlist.,,,The Stars and Stripes Forever,,soulful disco
260,Add beijing huanying ni to my  workday lounge playlist,my,,beijing huanying ni,,workday lounge
261,I want to add a track to my  Evening Groove playlist,my,track,,,Evening Groove
262,add How to sos 48 2016 playlist,,,How,,sos 48 2016
263,Can you put dj kay slay onto the 2010 Decade playlist?,,,,dj kay slay,2010 Decade
264,Add Fabri Fibra to evening acoustic,,,,Fabri Fibra,evening acoustic
265,add this tune to Escapada,,tune,,,Escapada
266,Add the unraveling to marina's playlist It's a Southern Thing,marina's,,the unraveling,,It's a Southern Thing
267,put this artist into my  found them first playlist please,my,artist,,,found them first
268,add Stephen McNally to Confidence Boost,,,,Stephen McNally,Confidence Boost
269,add Paul Franklin to my  The Bachelor Party,my,,,Paul Franklin,The Bachelor Party
270,Add a track to the Another Glass playlist.,,track,,,Another Glass
271,Please add a track by david freiberg to my  workout playlist.,my,track,,david freiberg,workout
272,Add this artist to my  feel good dinner playlist,my,artist,,,feel good dinner
273,add vintage 74 to my mother's  Primavera Sound 2016 Barcelona playlist,my mother's,,vintage 74,,Primavera Sound 2016 Barcelona
274,Add an album by cowboy troy to my  piano in the background playlist.,my,album,,cowboy troy,piano in the background
275,Add Hatfield and the North to my  Hot House playlist.,my,,Hatfield and the North,,Hot House
276,Add tour generaciÃ³n rbd en vivo to the roadrunner rec new releases playlist.,,,tour generaciÃ³n rbd en vivo,,roadrunner rec new releases
277,I want global top 50 to have marit bergman added to it.,,,,marit bergman,global top 50
278,Add The Block Brochure Welcome to the Soil 6 onto my  CafÃ© con Leche list,my,,The Block Brochure Welcome to the Soil 6,,CafÃ© con Leche
279,add paul wright  album to 90s Smash Hits playlist,,album,,paul wright,90s Smash Hits
280,Add an artist to my playlist This Is Verdi,my,artist,,,This Is Verdi
281,Add a tune to the this is animal collective playlist.,,tune,,,this is animal collective
282,Add this marilyn manson  tune to Latin Party Anthems,,tune,,marilyn manson,Latin Party Anthems
283,Add Dickey Betts to my  throwback thursday playlist.,my,,,Dickey Betts,throwback thursday
284,add the album by Cham to my  Cloud Rap playlist,my,album,,Cham,Cloud Rap
285,Add Atticus Ross to the electrosafari playlist,,,,Atticus Ross,electrosafari
286,add this artist to Spain Top 50,,artist,,,Spain Top 50
287,Put Lindsey Cardinale into my  hillary clinton's women's history month playlist .,my,,,Lindsey Cardinale,hillary clinton's women's history month playlist
288,Add A Gate Through Bloodstained Mirrors to feelin' good playlist,,,A Gate Through Bloodstained Mirrors,,feelin' good
289,Put some frank ferrer into my  edna st vincent millay playlist.,my,,,frank ferrer,edna st vincent millay
290,Add Madman to Trap Land playlist,,,Madman,,Trap Land
291,add chas chandler to my  Aux Cord Privileges,my,,,chas chandler,Aux Cord Privileges
292,put Kan Mikami on Pre-Party R&B Jams,,,,Kan Mikami,Pre-Party R&B Jams
293,add let the season in to my  lo-fi love,my,,let the season in,,lo-fi love
294,Add this track to the 70s smash hits playlist,,track,,,70s smash hits
295,put any Andrew Hurley  album onto timeless love songs,,album,,Andrew Hurley,timeless love songs
296,add Be Yourself Tonight to I Love My 90s Hip Hop,,,Be Yourself Tonight,,I Love My 90s Hip Hop
297,add track to my  Las Canciones MÃ¡s Lindas Del Mundo playlist,my,track,,,Las Canciones MÃ¡s Lindas Del Mundo
298,add this Roy Orbison  song onto Women of Comedy,,song,,Roy Orbison,Women of Comedy
299,Add artist to laundry,,artist,,,laundry
300,Add A Bum Note and a Bead of Sweat to my  Stress Relief playlist,my,,A Bum Note and a Bead of Sweat,,Stress Relief
301,Add sara hickman to my  Targeted list,my,,,sara hickman,Targeted
302,Add Jonathan Arons to my  Indie Electronics playlist,my,,,Jonathan Arons,Indie Electronics
303,add track to my  Cloud Rap,my,track,,,Cloud Rap
304,add this song to my playlist under Funky Jams,my,song,,,Funky Jams
305,Add Mary Wells Sings My Guy to the electro sur playlist.,,,Mary Wells Sings My Guy,,electro sur
306,add tune to Soft Rock playlist,,tune,,,Soft Rock
307,add d-day dodgers to my  running power playlist,my,,d-day dodgers,,running power
308,I want a song by john schlitt in the bajo las estrellas playlist.,,song,,john schlitt,bajo las estrellas
309,Add vikku vinayakram to my  This Is Nicky Jam,my,,,vikku vinayakram,This Is Nicky Jam
310,add Bossa Nova Soul Samba to my  jukebox boogie rhythm & blues playlist,my,,Bossa Nova Soul Samba,,jukebox boogie rhythm & blues
311,Add brad kane to the Pumping Iron soundtrack.,,,,brad kane,Pumping Iron
312,Please add this song to indiespain list,,song,,,indiespain
313,Add od mene se odvikavaj to my  laundry,my,,od mene se odvikavaj,,laundry
314,add this artist to Dubstep,,artist,,,Dubstep
315,Add the tune to Your Favorite Slaughterhouse playlist.,,tune,,,Your Favorite Slaughterhouse
316,Add song to Siesta,,song,,,Siesta
317,Put Lullaby of Birdland onto fusion fest .,,,Lullaby of Birdland,,fusion fest
318,put Sarah Blasko onto my  The MetalSucks Playlist ,my,,,Sarah Blasko,The MetalSucks Playlist
319,I want another track added to the Korean OSTs playlist.,,track,,,Korean OSTs
320,Add Cream to the funk playlist.,,,Cream,,funk
321,Add Take Me Back to Dear Old Blighty to my  dinner playlist,my,,Take Me Back to Dear Old Blighty,,dinner
322,add this tune to the Deep Dark Indie Folk playlist,,tune,,,Deep Dark Indie Folk
323,add this gisela  song to my  dancehall official,my,song,,gisela,dancehall official
324,Add histoire de melody nelson to my  90's Baby Makers playlist,my,,histoire de melody nelson,,90's Baby Makers
325,add this tune to my  road trip playlist,my,tune,,,road trip
326,Add tune to infinite indie folk,,tune,,,infinite indie folk
327,add album to Ultra Metal,,album,,,Ultra Metal
328,I'd like to add this album to funtime .,,album,,,funtime
329,add tune to punk espaÃ±ol,,tune,,,punk espaÃ±ol
330,I want to add In the Mood to my playlist called My Folksy Love,my,,In the Mood,,My Folksy Love
331,Put this Jerry Dixon  song onto my  Tokyo Rising playlist.,my,song,,Jerry Dixon,Tokyo Rising
332,add grim skunk to Duetos,,,grim skunk,,Duetos
333,"Add jennie, jennie to my  metal playlist",my,,"jennie, jennie",,metal
334,add DÃ­as Felices to my  todo reggaeton playlist,my,,DÃ­as Felices,,todo reggaeton
335,Add Candlelight to my  House Afterwork playlist.,my,,Candlelight,,House Afterwork
336,Add Us Placers to my  new boots,my,,Us Placers,,new boots
337,add this track by clem burke to my  atmospheric black metal playlist,my,track,,clem burke,atmospheric black metal
338,add Mayya to the de manhattan con amor playlist,,,Mayya,,de manhattan con amor
339,Add the Nastya Kamenskih  song to my  The Martin Garrix Show playlist.,my,song,,Nastya Kamenskih,The Martin Garrix Show
340,Add artist to playlist Epic Gaming,,artist,,,Epic Gaming
341,Add robin s to sxsw latin,,,,robin s,sxsw latin
342,Put this tune onto the signed xoxo playlist.,,tune,,,signed xoxo
343,add olympia 1959 to from the delta to chicago,,,olympia 1959,,from the delta to chicago
344,The enamorÃ¡ndose playlist needs another album .,,album,,,enamorÃ¡ndose
345,add song to Rocksteady playlist,,song,,,Rocksteady
346,add Funtwo to disco fever  track ,,track,,Funtwo,disco fever
347,I'd like to add this album to my  Siesta playlist,my,album,,,Siesta
348,Add Kevin Cadogan to the 80s Classic Hits list,,,,Kevin Cadogan,80s Classic Hits
349,add the artist to my  Spooning playlist,my,artist,,,Spooning
350,Add this Alan Wilson  track to my  This Is Luis Fonsi playlist,my,track,,Alan Wilson,This Is Luis Fonsi
351,For my playlist Wild Country add a great day for freedom,my,,a great day for freedom,,Wild Country
